"","year","entidad","idd","pp_gob","dim_1","dim_2","dim_3","dim_4","pp_izq"
"281",2019,"Sinaloa",5.564844685,"pri",4.565,3.485,0.41,0.83769454,"pp_otro"
"282",2019,"Sonora",7.258321138,"pri",6.43,3.533,0.298,1.071766331,"pp_otro"
"283",2019,"Tabasco",4.258306151,"morena",6.248,4.792,-2.613,-0.699950526,"pp_izq"
"284",2019,"Tamaulipas",3.506075901,"pan",2.193,4.099,-0.008,0.539750428,"pp_otro"
"285",2019,"Tlaxcala",3.655741614,"pri",5.086,2.722,0.251,-1.05666925,"pp_otro"
"286",2019,"Veracruz",1.769936369,"morena",4.528,1.74,-0.581,-0.950409012,"pp_izq"
"287",2019,"Yucatan",9.418995006,"pan",7.489,6.104,0.543,-0.208258728,"pp_otro"
"288",2019,"Zacatecas",6.385401376,"pri",5.809,4.763,0.002,-0.29157003,"pp_otro"
"289",2020,"Aguascalientes",8.844872948,"pan",5.092,5.93,0.539,1.231,"pp_otro"
"290",2020,"Baja California",4.175992534,"morena",4.465,2.99,1.302,-1.947,"pp_izq"
"291",2020,"Baja California Sur",9.251340712,"pan",6.328,5.457,0.912,0.615,"pp_otro"
